stage	backend	model	program	repetition	status	real_seconds	user_seconds	sys_seconds	peak_rss_bytes	complete_executions	blocked_executions
pso-before	cat	sc	correct/data-structures/fcombiner-async/variants/main0.c	5	0	0.17	0.14	0.01	54411264	24	16
pso-before	caat	sc	correct/data-structures/fcombiner-async/variants/main0.c	5	0	0.12	0.09	0.01	54444032	24	16
pso-before	cat	tso	correct/litmus/SB/variants/sb0.c	5	0	0.05	0.03	0.01	52609024	4	0
pso-before	caat	tso	correct/litmus/SB/variants/sb0.c	5	0	0.05	0.03	0.01	52756480	4	0
pso-before	cat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.05	0.03	0.01	52740096	4	0
pso-before	caat	tso	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.05	0.03	0.01	52559872	4	0
pso-before	cat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53739520	2	6
pso-before	caat	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53886976	2	6
pso-before	cat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53460992	8	6
pso-before	caat	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53657600	8	6
pso-before	cat	tso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.09	0.06	0.02	54493184	0	0
pso-before	caat	tso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.08	0.06	0.01	54509568	0	0
pso-before	cat	pso	correct/litmus/SB/variants/sb0.c	5	0	0.05	0.03	0.01	52609024	4	0
pso-before	caat	pso	correct/litmus/SB/variants/sb0.c	5	0	0.05	0.03	0.01	52690944	4	0
pso-before	cat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.05	0.03	0.01	52543488	4	0
pso-before	caat	pso	correct/litmus/RMWFix/variants/rmwfix0.c	5	0	0.05	0.03	0.01	52576256	4	0
pso-before	cat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.06	0.04	0.01	53870592	2	6
pso-before	caat	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	5	0	0.07	0.05	0.01	53821440	2	6
pso-before	cat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.08	0.04	0.02	53444608	11	7
pso-before	caat	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	5	0	0.09	0.06	0.01	53460992	11	7
pso-before	cat	pso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.09	0.06	0.02	54640640	0	0
pso-before	caat	pso	correct/data-structures/fcombiner-async/variants/main0.c	5	42	0.12	0.09	0.02	54558720	0	0
pso-before	caat	sc	correct/litmus/SB/variants/sb0.c	6	0	0.05	0.03	0.01	52576256	3	0
pso-before	cat	sc	correct/litmus/SB/variants/sb0.c	6	0	0.05	0.03	0.01	52641792	3	0
pso-before	caat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.05	0.03	0.01	52576256	4	0
pso-before	cat	sc	correct/litmus/RMWFix/variants/rmwfix0.c	6	0	0.05	0.03	0.01	52854784	4	0
