variant	model	program	repetition	status	wall_seconds	user_seconds	sys_seconds	peak_rss_kib	executions	blocked
before	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.074880535	0.043276000	0.031138000	93388	2	6
after	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.073256525	0.049266000	0.023647000	93044	2	6
before	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.086083252	0.059265000	0.026450000	93676	8	6
after	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.077345074	0.048587000	0.028341000	93280	8	6
before	tso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.303109773	0.278246000	0.024418000	92816	0	0
after	tso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.338919079	0.301344000	0.037138000	93200	0	0
before	pso	correct/litmus/SB/variants/sb0.c	7	0	0.065403484	0.029037000	0.035985000	93160	4	0
after	pso	correct/litmus/SB/variants/sb0.c	7	0	0.064982330	0.027312000	0.037368000	93184	4	0
before	pso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.057912948	0.021250000	0.036285000	93212	4	0
after	pso	correct/litmus/RMWFix/variants/rmwfix0.c	7	0	0.056346575	0.028233000	0.027740000	92232	4	0
before	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.082521121	0.050652000	0.031530000	92852	2	6
after	pso	correct/data-structures/ms-queue-dynamic/variants/main0.c	7	0	0.084377917	0.053726000	0.030298000	93296	2	6
before	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.095166093	0.078363000	0.016379000	92572	11	7
after	pso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	7	0	0.084109052	0.062723000	0.020933000	92868	11	7
before	pso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.334576871	0.293427000	0.040603000	93572	0	0
after	pso	correct/data-structures/fcombiner-async/variants/main0.c	7	42	0.325972219	0.293401000	0.032017000	93608	0	0
after	sc	correct/litmus/SB/variants/sb0.c	8	0	0.057590613	0.029091000	0.028135000	93400	3	0
before	sc	correct/litmus/SB/variants/sb0.c	8	0	0.053105532	0.018911000	0.033856000	93196	3	0
after	sc	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.070245312	0.027997000	0.041936000	92232	4	0
before	sc	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.062472413	0.025309000	0.036823000	92752	4	0
after	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.071518138	0.051351000	0.019626000	93392	2	6
before	sc	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.088910894	0.065155000	0.023395000	93584	2	6
after	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.091634182	0.063446000	0.027747000	92576	8	6
before	sc	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.089026426	0.058199000	0.030412000	92640	8	6
after	sc	correct/data-structures/fcombiner-async/variants/main0.c	8	0	0.385875549	0.346469000	0.039026000	93780	24	16
before	sc	correct/data-structures/fcombiner-async/variants/main0.c	8	0	0.394460206	0.370613000	0.023462000	93200	24	16
after	tso	correct/litmus/SB/variants/sb0.c	8	0	0.066651394	0.029232000	0.036975000	92792	4	0
before	tso	correct/litmus/SB/variants/sb0.c	8	0	0.067626165	0.032075000	0.035244000	92044	4	0
after	tso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.065989704	0.031573000	0.034110000	92296	4	0
before	tso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.061710059	0.030268000	0.031026000	93212	4	0
after	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.086755415	0.063074000	0.023274000	92712	2	6
before	tso	correct/data-structures/ms-queue-dynamic/variants/main0.c	8	0	0.073998318	0.035233000	0.038247000	93424	2	6
after	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.075164459	0.062316000	0.012268000	93276	8	6
before	tso	correct/data-structures/treiber-stack-dynamic/variants/main0.c	8	0	0.085541863	0.059423000	0.025688000	92908	8	6
after	tso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.315128724	0.278609000	0.036017000	93212	0	0
before	tso	correct/data-structures/fcombiner-async/variants/main0.c	8	42	0.313105311	0.289412000	0.023243000	93196	0	0
after	pso	correct/litmus/SB/variants/sb0.c	8	0	0.057595665	0.021314000	0.035731000	91872	4	0
before	pso	correct/litmus/SB/variants/sb0.c	8	0	0.061557657	0.024948000	0.036201000	92752	4	0
after	pso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.068117418	0.028217000	0.039376000	92116	4	0
before	pso	correct/litmus/RMWFix/variants/rmwfix0.c	8	0	0.068421249	0.032972000	0.035058000	93124	4	0
