variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r04	01b_inc.yml	0	179266	4856	21	5	282	236	1
after	pso	r04	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_01-priv_nr_true.yml	0	334346	5064	22	10	433	369	1
after	pso	r04	13-privatized_18-first-reads_true.yml	0	215561	3816	16	10	280	251	1
after	pso	r04	13-privatized_18-first-reads_unknown_1_neg.yml	0	33636	2152	8	1	15	12	1
after	pso	r04	13-privatized_18-first-reads_unknown_2_pos.yml	0	41583	2152	8	1	15	12	1
after	pso	r04	13-privatized_19-publish-precision_true.yml	0	1079753	5272	23	33	1821	1575	1
after	pso	r04	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_19-publish-precision_unknown_1_pos.yml	0	54110	3192	13	1	26	22	1
after	pso	r04	13-privatized_19-publish-precision_unknown_2_neg.yml	0	30442	3192	13	1	26	22	1
after	pso	r04	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_20-publish-regression_true.yml	0	550744	5480	24	18	910	788	1
after	pso	r04	13-privatized_24-multiple-protecting_true.yml	0	15583343	12344	57	426	60071	48978	1
after	pso	r04	13-privatized_25-struct_nr_true.yml	0	335249	5064	22	10	433	369	1
after	pso	r04	13-privatized_27-multiple-protecting2_true.yml	0	68246745	13176	61	1546	167997	139912	1
after	pso	r04	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2175373	7976	36	88	4281	3726	1
after	pso	r04	13-privatized_30-traces-oplus-vs-meet_true.yml	0	754285	5896	26	30	1597	1404	1
