archive	log	adapter_ns	adaptive_offline	base_facts_added	base_facts_removed	checkpoint_ns	copy_ns	equality_ns	eval_ops	evicted	history_ns	initialize	insert	insert_attempt_ns	materialize_ns	max_active_events	max_base_relation_density_ppm	max_base_relation_pairs	max_changed_primitives	max_current_base_bytes	max_history_base_bytes	max_inactive_events	max_stable_events	monotone_primitive_queries	offline_evals	offline_ns	oracle	peak_snapshot_equivalent_bytes	peak_undo_bytes	primitive_change_queries	profiled_queries	queue_pushes	rebuild	rebuild_ns	replace	retained_snapshot_equivalent_bytes	retained_undo_bytes	retracting_primitive_queries	rollback	rollback_insert	rollback_ns	sync_ns	unchanged	value_changes	worklist_ns
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.stateful01-2.yml.log	0	122	7218	7094	57443	0	77227	0	0	0	1	0	0	2997432	34	743801	826	10	2624	2624	19	36	1	123	9534174	0	17504	0	122	126	0	0	9574582	0	17504	0	121	0	0	0	26898540	3	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.02_inc_cas.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.48_ticket_lock_low_contention_vs.yml.log	0	3	3	349	1875	0	1432	0	0	0	1	0	0	93712	25	585937	304	9	1832	1832	9	25	0	4	243484	0	12312	0	3	4	0	0	244415	0	12312	0	3	0	0	0	524531	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.28-race_reach_45-escape_racing.yml.log	0	0	0	0	764	0	0	0	0	0	1	0	0	20752	19	576177	208	0	1400	1400	0	19	0	1	33815	0	9480	0	0	1	0	0	34069	0	9480	0	0	0	0	0	60160	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.28-race_reach_46-escape_racefree.yml.log	0	27	1475	1563	8506	0	12628	0	0	0	1	0	0	393809	28	607709	450	9	2120	2120	16	29	0	28	1261359	0	14200	0	27	29	0	0	1267368	0	14200	0	27	0	0	0	3338969	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.lazy01.yml.log	0	17	1717	1043	5205	0	6586	0	0	0	1	0	0	280466	26	774400	516	10	2120	2120	10	29	0	18	800090	0	14200	0	17	19	0	0	808163	0	14200	0	17	0	0	0	2042789	1	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.dekker-unfair.yml.log	0	36	2592	2504	12251	0	11023	0	0	0	1	0	0	620763	34	740484	790	10	2552	2552	16	35	6	37	2023260	0	17032	0	36	37	0	0	2028992	0	17032	0	30	0	0	0	5511702	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.dekker.yml.log	0	34	2492	2404	11009	0	10134	0	0	0	1	0	0	586196	34	740484	790	10	2552	2552	16	35	6	35	1912863	0	17032	0	34	35	0	0	1922808	0	17032	0	28	0	0	0	5171947	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.exponential-nondet.yml.log	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.circular_buffer_bad.yml.log	0	237	44609	42609	103006	0	157044	0	0	0	1	0	0	13534681	86	717971	4702	10	12880	12880	45	89	0	238	47955276	0	84600	0	237	238	0	0	48020225	0	84600	0	237	0	0	0	168968208	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.unwind2-1.yml.log	0	2	176	4	1198	0	616	0	0	0	1	0	0	40048	18	709876	230	10	1328	1328	0	18	0	3	118363	0	9008	0	2	3	0	0	118982	0	9008	0	2	0	0	0	212438	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.szymanski.yml.log	0	377	10859	10834	100207	0	134142	0	0	0	1	0	0	4596566	29	740000	572	10	2264	2264	20	31	5	378	17675870	0	15144	0	377	378	0	0	17743803	0	15144	0	372	0	0	0	46491622	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.unwind3-1.yml.log	0	2	118	4	1131	0	648	0	0	0	1	0	0	39383	18	617283	200	9	1328	1328	0	18	0	3	92708	0	9008	0	2	3	0	0	98576	0	9008	0	2	0	0	0	191840	0	0	0
profile-caat-pso.2026-07-15_07-20-33.logfiles.zip	caat-pso.profile.unwind2-100.yml.log	0	2	176	4	1174	0	717	0	0	0	1	0	0	39878	18	709876	230	10	1328	1328	0	18	0	3	103701	0	9008	0	2	3	0	0	104359	0	9008	0	2	0	0	0	195724	0	0	0
