task	expected	model	method	threads	repetition	status	verdict	walltime_seconds	cputime_seconds	memory_bytes	executions	blocked
13-privatized_31-traces-mine-vs-mutex_true.yml	true	sc	genmc	2	1	true	true	0.0647406069911085	0.062697638	25681920	4	
13-privatized_20-publish-regression_true.yml	true	sc	genmc	2	1	true	true	0.06529775995295495	0.061868467	25755648	2	
13-privatized_30-traces-oplus-vs-meet_true.yml	true	sc	genmc	2	1	true	true	0.06546182802412659	0.060580413	25694208	2	2
13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	sc	genmc	2	1	true	true	0.05504791997373104	0.054704247	25862144	3	2
13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	sc	genmc	2	1	true	true	0.06552758201723918	0.062591031	25714688	1	1
13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	sc	genmc	2	1	true	true	0.07278756599407643	0.068611488	25825280	0	1
13-privatized_29-multiple-protecting2-vesal_true.yml	true	sc	genmc	2	1	true	true	0.05437854502815753	0.052489029	25788416	4	
13-privatized_24-multiple-protecting_true.yml	true	sc	genmc	2	1	true	true	0.05809086898807436	0.056763557	25788416	7	
36-apron_21-traces-cluster-based_true.yml	true	sc	genmc	2	1	true	true	0.059519144997466356	0.055341668	25780224	6	2
36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	sc	genmc	2	1	true	true	0.056878417963162065	0.053093025	25739264	1	
13-privatized_27-multiple-protecting2_true.yml	true	sc	genmc	2	1	true	true	0.07505308999679983	0.079550543	25755648	26	
14_spin2003.yml	true	sc	genmc	2	1	true	true	0.07355171698145568	0.068881326	25657344	0	1
29_conditionals_vs.yml	true	sc	genmc	2	1	true	true	0.06164225499378517	0.05821555	25718784	0	1
48_ticket_lock_low_contention_vs-pthread.yml	true	sc	genmc	2	1	true	true	0.06446539401076734	0.062840112	25784320	0	1
46_monabsex2_vs.yml	true	sc	genmc	2	1	true	true	0.06940302904695272	0.065802179	25649152	0	1
45_monabsex1_vs.yml	true	sc	genmc	2	1	true	true	0.06817391602089629	0.066744218	25739264	0	1
stateful01-1.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06759000400779769	0.06380416	25829376	0	2
stateful01-2.yml	true	sc	genmc	2	1	true	true	0.06020367902237922	0.05797684	25845760	6	
time_var_mutex.yml	true	sc	genmc	2	1	true	true	0.0618924800073728	0.058546628	25767936	2	
01b_inc.yml	true	sc	genmc	2	1	true	true	0.058204713044688106	0.057582542	25772032	0	1
triangular-1.yml	true	sc	genmc	2	1	true	true	3.6821086020208895	7.288994223	25722880	16632	
triangular-2.yml	false	sc	genmc	2	1	false(unreach-call)	false	1.6767217449960299	3.286210022	25784320	9066	6
02_inc_cas.yml	true	sc	genmc	2	1	true	true	0.06796414399286732	0.066012301	25759744	0	1
28-race_reach_21-deref_read_racing.yml	false	sc	genmc	2	1	false(unreach-call)	false	3.0957461729994975	4.932996404	57212928	0	
48_ticket_lock_low_contention_vs.yml	true	sc	genmc	2	1	true	true	0.06663949502399191	0.063680679	25776128	0	1
28-race_reach_37-indirect_racing.yml	false	sc	genmc	2	1	false(unreach-call)	false	3.570645192055963	5.823008277	132042752	0	2
28-race_reach_45-escape_racing.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.05517350003356114	0.054060828	25780224	1	
28-race_reach_46-escape_racefree.yml	true	sc	genmc	2	1	true	true	0.06141243199817836	0.0599021	25759744	2	
28-race_reach_01-simple_racing.yml	false	sc	genmc	2	1	false(unreach-call)	false	3.628047014994081	5.944926561	131936256	0	2
28-race_reach_11-ptr_racing.yml	false	sc	genmc	2	1	false(unreach-call)	false	3.5859064560499974	5.848977185	132268032	0	2
circular_buffer_bad.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06478500296361744	0.063958616	25800704	1	7
fib_safe-5.yml	true	sc	genmc	2	1	true	true	2.022999159991741	3.982246211	25817088	2772	
fib_safe-6.yml	true	sc	genmc	2	1	true	true	9.3442785020452	18.591905768	25817088	12012	
fib_unsafe-5.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.7356346700107679	1.395958725	25776128	1329	15
fib_unsafe-6.yml	false	sc	genmc	2	1	false(unreach-call)	false	3.9773610300035216	7.884475122	25767936	4852	7
fib_unsafe-7.yml	false	sc	genmc	2	1	false(unreach-call)	false	17.40063402702799	34.734969135	25772032	20308	11
28-race_reach_24-sound_lock_racing.yml	false	sc	genmc	2	1	false(unreach-call)	false	3.561768148036208	5.786369951	132063232	0	2
lazy01.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06093143502948806	0.056765856	25829376	0	3
circular_buffer_ok.yml	true	sc	genmc	2	1	true	true	1.379277629952412	2.67754818	25825280	3432	
szymanski.yml	true	sc	genmc	2	1	true	true	0.06579367100493982	0.063659969	25767936	6	25
dekker.yml	true	sc	genmc	2	1	true	true	0.06959291797829792	0.060694105	25767936	4	6
dekker-unfair.yml	true	sc	genmc	2	1	true	true	0.06200964702293277	0.059313971	25772032	4	6
unwind3-1.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06754831998841837	0.060949642	25751552	1	
exponential-nondet.yml	true	sc	genmc	2	1	true	true	0.06424512097146362	0.060885177	25829376	1	
unwind2-1.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06680314103141427	0.064225724	25763840	3	
unwind2-100.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06634360400494188	0.05946733	25776128	3	
butterfly.yml	true	sc	genmc	2	1	true	true	5.237172708031721	10.40339951	26013696	64560	
43_NetBSD_sysmon_power_sliced.yml	true	sc	genmc	2	1	true	true	0.06575927301310003	0.061420793	25722880	0	1
28-race_reach_06-cond_racing1.yml	false	sc	genmc	2	1	false(unreach-call)	false	3.379513797000982	5.459527137	152907776	0	2
queue_ok.yml	true	sc	genmc	2	1	true	true	0.06973521201871336	0.066815488	25976832	2	
queue_ok_longer.yml	true	sc	genmc	2	1	true	true	0.11248013295698911	0.141903418	25980928	2	
queue_ok_longest.yml	true	sc	genmc	2	1	true	true	0.15635830198880285	0.217390137	27324416	2	
queue_longer.yml	false	sc	genmc	2	1	ABORTED		13.775194743007887	27.067916871	2237132800		
queue.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.08686576201580465	0.095964785	25993216	1	15
singleton.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.07977603300241753	0.073725278	25964544	2	1
singleton_with-uninit-problems.yml	true	sc	genmc	2	1	true	true	0.07545502803986892	0.063755335	25899008	4	
pthread-demo-datarace-3.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.10084163601277396	0.127925865	25821184	0	15
reorder_2.yml	false	sc	genmc	2	1	ABORTED		0.19516272202599794	0.088707883	25903104		
twostage_3.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.07024851901223883	0.074401404	26095616	2	8
race-1_1-join.yml	true	sc	genmc	2	1	true	true	0.06519487401237711	0.059694885	26017792	1	
race-1_3-join.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.0630067529855296	0.057987921	25939968	1	1
race-1_2-join.yml	false	sc	genmc	2	1	false(unreach-call)	false	0.06478695198893547	0.062382506	25976832	1	1
race-4_1-thread_local_vars.yml	true	sc	genmc	2	1	true	true	0.06848185899434611	0.064505944	26034176	0	1
race-2_1-container_of.yml	true	sc	genmc	2	1	true	true	0.06255880498792976	0.058146351	26030080	1	
race-3_1-container_of-global.yml	true	sc	genmc	2	1	true	true	0.06310936098452657	0.05966666	25968640	1	
13-privatized_66-mine-W-init_true.yml	true	sc	genmc	2	2	true	true	0.07330024900147691	0.066136898	25649152	1	
36-apron_41-threadenter-no-locals_unknown_1_pos.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.07236445200396702	0.068417408	25698304	0	
36-apron_16-traces-unprot2_true.yml	true	sc	genmc	2	2	true	true	0.0659670730237849	0.061068538	25735168	1	
13-privatized_57-singlethreaded-unlock_true.yml	true	sc	genmc	2	2	true	true	0.06641223200131208	0.062966208	25690112	1	
13-privatized_47-refine-protected2_true.yml	true	sc	genmc	2	2	true	true	0.06770311295986176	0.061718422	25698304	2	
13-privatized_46-refine-protected1_true.yml	true	sc	genmc	2	2	true	true	0.06404125900007784	0.056981683	25645056	1	
36-apron_11-traces-max-simple_true.yml	true	sc	genmc	2	2	true	true	0.06748585199238732	0.064927382	25624576	2	
13-privatized_41-traces-ex-7_unknown_1_pos.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.07003927405457944	0.064605003	25690112	0	1
13-privatized_41-traces-ex-7_unknown_1_neg.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.06610211200313643	0.06210181	25677824	0	
13-privatized_40-traces-ex-6_true.yml	true	sc	genmc	2	2	true	true	0.06586082902504131	0.064038862	25636864	1	1
13-privatized_58-singlethreaded-lock_true.yml	true	sc	genmc	2	2	true	true	0.05765180103480816	0.053401322	25649152	1	
13-privatized_44-traces-mine2_true.yml	true	sc	genmc	2	2	true	true	0.05403016199124977	0.051063442	25624576	1	1
13-privatized_18-first-reads_unknown_2_pos.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.06275924702640623	0.059645436	25776128	0	1
13-privatized_18-first-reads_unknown_1_neg.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.06361900002229959	0.059166943	25772032	0	1
13-privatized_36-traces-ex-3_true.yml	true	sc	genmc	2	2	true	true	0.07754176401067525	0.073040776	25690112	3	
13-privatized_18-first-reads_true.yml	true	sc	genmc	2	2	true	true	0.058196346974000335	0.054512633	25833472	2	
13-privatized_35-traces-ex-2_true.yml	true	sc	genmc	2	2	true	true	0.056951033999212086	0.051844509	25710592	2	2
13-privatized_37-traces-ex-4_true.yml	true	sc	genmc	2	2	true	true	0.0684222350246273	0.061631475	25677824	2	
13-privatized_38-traces-ex-4-switch_true.yml	true	sc	genmc	2	2	true	true	0.05993869196390733	0.05695565	25780224	2	2
13-privatized_19-publish-precision_unknown_1_pos.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.07186875096522272	0.064782505	25657344	1	
13-privatized_19-publish-precision_unknown_2_pos.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.060763152956496924	0.057516503	25829376	0	
13-privatized_19-publish-precision_unknown_1_neg.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.053508554003201425	0.049334409	25825280	0	
13-privatized_19-publish-precision_unknown_2_neg.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.055888167989905924	0.052382335	25759744	1	
13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	true	sc	genmc	2	2	true	true	0.05421761597972363	0.053869688	25718784	2	2
13-privatized_01-priv_nr_true.yml	true	sc	genmc	2	2	true	true	0.06233166699530557	0.056844661	25772032	2	
13-privatized_19-publish-precision_true.yml	true	sc	genmc	2	2	true	true	0.06088009400991723	0.056600418	25780224	3	
13-privatized_42-traces-ex-mini_true.yml	true	sc	genmc	2	2	true	true	0.055526322044897825	0.052316245	25640960	2	
13-privatized_33-traces-v-matters_true.yml	true	sc	genmc	2	2	true	true	0.06559925299370661	0.06178292	25755648	1	2
13-privatized_25-struct_nr_true.yml	true	sc	genmc	2	2	true	true	0.06854724499862641	0.063370851	25677824	2	
13-privatized_69-refine-protected-loop-interval_true.yml	true	sc	genmc	2	2	true	true	0.06132698501460254	0.056741264	25735168	0	1
36-apron_17-traces-rpb-litmus_unknown_1_neg.yml	false	sc	genmc	2	2	false(unreach-call)	false	0.055739945033565164	0.051664225	25763840	0	
13-privatized_31-traces-mine-vs-mutex_true.yml	true	sc	genmc	2	2	true	true	0.05730131902964786	0.056782311	25690112	4	
13-privatized_20-publish-regression_true.yml	true	sc	genmc	2	2	true	true	0.0567738710087724	0.052857237	25690112	2	
13-privatized_30-traces-oplus-vs-meet_true.yml	true	sc	genmc	2	2	true	true	0.07024174701655284	0.064430192	25817088	2	2
13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	true	sc	genmc	2	2	true	true	0.06012529000872746	0.058899345	25755648	3	2
13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml	true	sc	genmc	2	2	true	true	0.06239870801800862	0.059993571	25829376	1	1
13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	true	sc	genmc	2	2	true	true	0.059477526985574514	0.055991688	25858048	0	1
