task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/weaver/popl20-bad-counter-queue2.wvr.yml	true	correct	benchmark-consistent	0.06798742s	0.07856459199683741s	25264128B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/bench-exp3x3-opt.wvr.yml	true	correct	benchmark-consistent	0.070530343s	0.08037444401998073s	25366528B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-min-array-hom.wvr.yml	true	correct	benchmark-consistent	0.066853316s	0.0748280449770391s	25370624B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/loop-tiling-eq.wvr.yml	true	correct	benchmark-consistent	0.06780746s	0.07446244300808758s	25378816B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/unroll-cond-3.wvr.yml	true	correct	benchmark-consistent	0.071450764s	0.07872532197507098s	25305088B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-send-receive-alt.wvr.yml	true	correct	benchmark-consistent	0.069157464s	0.07507907599210739s	25366528B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-threaded-sum-3.wvr.yml	TIMEOUT	error	unknown	10.978149138s	11.013325802981853s	58589184B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-counter-fun.wvr.yml	true	correct	benchmark-consistent	0.068060491s	0.07735461799893528s	25276416B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-array-sum-alt2.wvr.yml	true	correct	benchmark-consistent	0.071406605s	0.07694493496092036s	25329664B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-min-max-inc.wvr.yml	true	correct	benchmark-consistent	0.069447386s	0.07769702700898051s	25374720B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-mts.wvr.yml	true	correct	benchmark-consistent	0.074101872s	0.0778997180168517s	25395200B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-misc-5.wvr.yml	true	correct	benchmark-consistent	0.066794953s	0.07632208499126136s	25272320B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-time-subst.wvr.yml	true	correct	benchmark-consistent	0.068924913s	0.07686244795331731s	25284608B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-array-sum2.wvr.yml	true	correct	benchmark-consistent	0.070530408s	0.07541744998889044s	25387008B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-match-trans.wvr.yml	true	correct	benchmark-consistent	0.072131385s	0.07894216803833842s	25329664B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-chromosome-symm.wvr.yml	true	correct	benchmark-consistent	0.070921396s	0.08128647197736427s	25370624B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-queue-add-2-nl.wvr.yml	TIMEOUT	error	unknown	11.165569302s	11.188058191968594s	3041095680B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-match-subst.wvr.yml	true	correct	benchmark-consistent	0.070912504s	0.08065597398672253s	25403392B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-ticket-7.wvr.yml	true	correct	benchmark-consistent	0.071336607s	0.07795912097208202s	25436160B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-misc-1.wvr.yml	true	correct	benchmark-consistent	0.0729645s	0.07833360898075625s	25325568B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-more-inc-subseq.wvr.yml	true	correct	benchmark-consistent	0.065045561s	0.07471776398597285s	25284608B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-array-int-subst.wvr.yml	true	correct	benchmark-consistent	0.073145402s	0.08134833100484684s	25358336B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-three-array-min.wvr.yml	true	correct	benchmark-consistent	0.069167392s	0.07765742298215628s	25346048B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-three-array-max.wvr.yml	true	correct	benchmark-consistent	0.071973362s	0.08138563600368798s	25346048B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/popl20-bad-dot-product.wvr.yml	true	correct	benchmark-consistent	0.075007921s	0.08076773298671469s	25354240B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-barrier.wvr.yml	true	correct	benchmark-consistent	0.069222007s	0.0785344330361113s	25333760B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/test-hard1.wvr.yml	true	correct	benchmark-consistent	0.06298536s	0.07336635800311342s	25382912B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/parallel-ticket-8.wvr.yml	true	correct	benchmark-consistent	0.067702087s	0.0771013560006395s	25403392B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
c/weaver/chl-chromosome-subst.wvr.yml	true	correct	benchmark-consistent	0.07458027s	0.08254330902127549s	25432064B			shard1/fair-census-shard1.2026-07-15_17-08-25.results.genmc-fair-sc.unreach-call.xml.bz2
