variant	model	repetition	task	status	category	cpu_s	wall_s	memory_bytes	executions	snapshot_bytes	base_bytes	lazy_checks	lazy_candidates
before	sc	r02	c/goblint-regression/13-privatized_24-multiple-protecting_true.yml	true	correct	0.069785777	0.07457773992791772	25845760.0	7	10536	3328	0	0
before	sc	r02	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	true	correct	0.067880761	0.07270213798619807	25903104.0	6	7136	2240	0	0
before	sc	r02	c/goblint-regression/36-apron_22-traces-write-centered-vs-meet-mutex_true_no-overflow.yml	true	correct	0.072311894	0.07695361005607992	25825280.0	1	0	0	0	0
before	sc	r02	c/goblint-regression/13-privatized_27-multiple-protecting2_true.yml	true	correct	0.081542936	0.08659727801568806	25948160.0	26	12336	3904	0	0
before	sc	r02	c/pthread-ext/14_spin2003.yml	true	correct	0.069045969	0.07395527709741145	25747456.0	0	0	0	0	0
before	sc	r02	c/pthread-ext/29_conditionals_vs.yml	true	correct	0.065574482	0.07108482194598764	25829376.0	0	0	0	0	0
before	sc	r02	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	true	correct	0.070830257	0.07313748495653272	25800704.0	0	0	0	0	0
before	sc	r02	c/pthread-ext/46_monabsex2_vs.yml	true	correct	0.068890447	0.07640425197314471	25808896.0	0	0	0	0	0
before	sc	r02	c/pthread-ext/45_monabsex1_vs.yml	true	correct	0.065919507	0.07464636594522744	25849856.0	0	0	0	0	0
before	sc	r02	c/pthread/stateful01-1.yml	false(unreach-call)	correct	0.063846578	0.06955195497721434	25919488.0	0	6336	1984	0	0
before	sc	r02	c/pthread/stateful01-2.yml	true	correct	0.069950585	0.07607083092443645	25837568.0	6	6536	2048	0	0
before	sc	r02	c/pthread-atomic/time_var_mutex.yml	true	correct	0.068758752	0.07105586200486869	25952256.0	2	5736	1792	0	0
before	sc	r02	c/pthread-ext/01b_inc.yml	true	correct	0.067545784	0.07445581199135631	25890816.0	0	0	0	0	0
before	sc	r02	c/pthread/triangular-1.yml	true	correct	6.265584308	6.277370886062272	25952256.0	16632	27336	8704	0	0
before	sc	r02	c/pthread/triangular-2.yml	false(unreach-call)	correct	1.471765515	1.4794584339251742	25886720.0	3638	27336	8704	0	0
before	sc	r02	c/pthread-ext/02_inc_cas.yml	true	correct	0.067313744	0.07178508001379669	25767936.0	0	0	0	0	0
