model	repetition	task	before_status	after_status	before_category	after_category	common_terminal	before_cpu_s	after_cpu_s	before_wall_s	after_wall_s	before_memory_bytes	after_memory_bytes	before_executions	after_executions	before_snapshot_bytes	after_snapshot_bytes	before_base_bytes	after_base_bytes	before_lazy_checks	after_lazy_checks	before_lazy_candidates	after_lazy_candidates	terminal_verdict_match	execution_match	candidate_match	lazy_check_match	snapshot_match	base_match	cpu_ratio	wall_ratio	memory_ratio
sc	r01	c/pthread-ext/14_spin2003.yml	true	true	correct	correct	True	0.065820576	0.069213782	0.07334048009943217	0.07449320808518678	25829376.0	25825280.0											True	True	True	True	True	True	1.0515523595539484	1.0157174862257758	0.9998414208690136
sc	r01	c/pthread-ext/29_conditionals_vs.yml	true	true	correct	correct	True	0.067292721	0.064238624	0.0751593979075551	0.07319828600157052	25767936.0	25796608.0											True	True	True	True	True	True	0.9546147494912561	0.9739072962186749	1.001112700683516
sc	r01	c/pthread-ext/43_NetBSD_sysmon_power_sliced.yml	true	true	correct	correct	True	0.062348009	0.0616517	0.07328224810771644	0.07413635205011815	25747456.0	25825280.0											True	True	True	True	True	True	0.9888318967811786	1.0116549910033639	1.003022589882278
sc	r01	c/pthread-ext/45_monabsex1_vs.yml	true	true	correct	correct	True	0.059820667	0.0727036	0.06622414500452578	0.07710207207128406	25853952.0	25841664.0											True	True	True	True	True	True	1.2153592336240582	1.1642592300136887	0.9995247148288974
sc	r01	c/pthread-ext/46_monabsex2_vs.yml	true	true	correct	correct	True	0.065698387	0.067247432	0.07251415902283043	0.07189383893273771	25858048.0	25743360.0											True	True	True	True	True	True	1.023578128333653	0.9914455314872035	0.9955647077459211
sc	r01	c/pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	true	true	correct	correct	True	0.071988219	0.067381701	0.07478954503312707	0.07450385100673884	25853952.0	25862144.0											True	True	True	True	True	True	0.9360101129880709	0.9961800272182204	1.000316856780735
sc	r01	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	true	true	correct	correct	True	0.070359999	0.075345803	0.07907068799249828	0.08492166199721396	25837568.0	25878528.0											True	True	True	True	True	True	1.0708613426785296	1.0739967509233104	1.0015852885225112
sc	r01	c/pthread-theta/exponential-nondet.yml	true	true	correct	correct	True	0.065101992	0.066936244	0.07068286591675133	0.07151064707431942	25866240.0	25853952.0											True	True	True	True	True	True	1.028175051847876	1.0117111996922004	0.9995249406175772
sc	r01	c/pthread-theta/unwind2-1.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.070256069	0.067123629	0.07232337910681963	0.07600215601269156	25976832.0	25952256.0											True	True	True	True	True	True	0.9554139586147354	1.0508656668328298	0.9990539262062441
sc	r01	c/pthread-theta/unwind2-100.yml	false(unreach-call)	false(unreach-call)	correct	correct	True	0.069445278	0.069774086	0.07689877797383815	0.07435748993884772	25948160.0	25952256.0											True	True	True	True	True	True	1.0047347783675082	0.9669528163912435	1.0001578531965272
