task	status	category	interpretation	cputime	walltime	memory	executions	blocked	xml
c/goblint-regression/28-race_reach_83-list2_racing1.yml	OUT OF MEMORY	error	unknown	28.628001276s	28.718895394995343s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_84-list2_racing2.yml	OUT OF MEMORY	error	unknown	28.895344474s	28.969485464971513s	3999997952B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/28-race_reach_90-arrayloop2_racing.yml	true	wrong	conditional-input-miss	12.903252967s	12.992589865985792s	98721792B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/bigshot_s.yml	true	correct	benchmark-consistent	0.070074193s	0.08248465799260885s	25849856B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/singleton_with-uninit-problems.yml	true	correct	benchmark-consistent	0.075206213s	0.08067573996959254s	25972736B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_67-pthread_cond_wait_true.yml	ERROR (compilation)	error	unknown	0.060473624s	0.1411627759807743s	25690112B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/goblint-regression/13-privatized_67-pthread_cond_wait_unknown_1_neg.yml	ERROR (compilation)	error	unknown	0.065575749s	0.07066987600410357s	25698304B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/reorder_5.yml	false(unreach-call)	correct	benchmark-consistent	1.708870236s	1.718777112022508s	25956352B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread/reorder_2.yml	false(unreach-call)	correct	benchmark-consistent	0.114516921s	0.12293940002564341s	25976832B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-C-DAC/pthread-numerical-integration.yml	true	correct	benchmark-consistent	0.072457684s	0.08590717701008543s	25976832B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/pthread-complex/elimination_backoff_stack.yml	true	wrong	conditional-input-miss	16.469150279s	16.52389625099022s	26255360B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/ldv-races/race-1_1-join.yml	true	correct	benchmark-consistent	0.074005063s	0.08247354201739654s	25960448B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/ldv-races/race-1_3-join.yml	false(unreach-call)	correct	benchmark-consistent	0.070449076s	0.08358773600775748s	26021888B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/ldv-races/race-4_1-thread_local_vars.yml	true	correct	benchmark-consistent	0.075618203s	0.08554575603920966s	26087424B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
c/ldv-linux-3.14-races/linux-3.14--drivers--spi--spi-tegra20-slink.ko.cil.yml	TIMEOUT	error	unknown	60.94219368s	61.01342722901609s	32567296B			shard1/fair-census-shard1.2026-07-15_17-20-42.results.genmc-fair-sc.unreach-call.xml.bz2
