task_log	before_max_history_base_bytes	after_max_history_base_bytes	before_retained_snapshot_equivalent_bytes	after_retained_snapshot_equivalent_bytes	before_peak_snapshot_equivalent_bytes	after_peak_snapshot_equivalent_bytes
caat-sc.profile.circular_buffer_ok.yml.log	59392	0	200600	0	200600	0
caat-sc.profile.dekker-unfair.yml.log	1984	0	6848	0	6848	0
caat-sc.profile.dekker.yml.log	1984	0	6848	0	6848	0
caat-sc.profile.exponential-nondet.yml.log	0	0	0	0	0	0
caat-sc.profile.fib_safe-5.yml.log	62208	0	210104	0	210104	0
caat-sc.profile.fib_unsafe-5.yml.log	62208	0	210104	0	210104	0
caat-sc.profile.fib_unsafe-6.yml.log	89920	0	303632	0	303632	0
caat-sc.profile.lazy01.yml.log	1664	0	5768	0	5768	0
caat-sc.profile.pthread-demo-datarace-3.yml.log	83840	0	283112	0	283112	0
caat-sc.profile.queue.yml.log	51456	0	173816	0	173816	0
caat-sc.profile.queue_ok.yml.log	58624	0	198008	0	198008	0
caat-sc.profile.queue_ok_longer.yml.log	16244928	16244928	54826784	54826784	54826784	54826784
caat-sc.profile.queue_ok_longest.yml.log	64745856	64745856	218517416	218517416	218517416	218517416
caat-sc.profile.race-1_1-join.yml.log	0	0	0	0	0	0
caat-sc.profile.race-1_2-join.yml.log	1472	0	5120	0	5120	0
caat-sc.profile.race-1_3-join.yml.log	1472	0	5120	0	5120	0
caat-sc.profile.race-2_1-container_of.yml.log	0	0	0	0	0	0
caat-sc.profile.race-3_1-container_of-global.yml.log	0	0	0	0	0	0
caat-sc.profile.race-4_1-thread_local_vars.yml.log	0	0	0	0	0	0
caat-sc.profile.reorder_2.yml.log	10496	0	35576	0	35576	0
caat-sc.profile.singleton.yml.log	2752	0	9440	0	9440	0
caat-sc.profile.singleton_with-uninit-problems.yml.log	2816	0	9656	0	9656	0
caat-sc.profile.stateful01-1.yml.log	1984	0	6848	0	6848	0
caat-sc.profile.stateful01-2.yml.log	2048	0	7064	0	7064	0
caat-sc.profile.szymanski.yml.log	1856	0	6416	0	6416	0
caat-sc.profile.time_var_mutex.yml.log	1792	0	6200	0	6200	0
caat-sc.profile.triangular-1.yml.log	8704	0	29528	0	29528	0
caat-sc.profile.triangular-2.yml.log	8704	0	29528	0	29528	0
caat-sc.profile.twostage_3.yml.log	12800	0	43352	0	43352	0
caat-sc.profile.unwind2-1.yml.log	0	0	0	0	0	0
caat-sc.profile.unwind2-100.yml.log	0	0	0	0	0	0
caat-sc.profile.unwind3-1.yml.log	1152	0	4040	0	4040	0
caat-tso.profile.01b_inc.yml.log	0	0	0	0	0	0
caat-tso.profile.02_inc_cas.yml.log	0	0	0	0	0	0
caat-tso.profile.13-privatized_01-priv_nr_true.yml.log	1184	0	7672	0	7672	0
caat-tso.profile.13-privatized_18-first-reads_true.yml.log	896	0	5880	0	5880	0
caat-tso.profile.13-privatized_18-first-reads_unknown_1_neg.yml.log	608	0	4088	0	4088	0
caat-tso.profile.13-privatized_18-first-reads_unknown_2_pos.yml.log	608	0	4088	0	4088	0
caat-tso.profile.13-privatized_19-publish-precision_true.yml.log	1328	0	8568	0	8568	0
caat-tso.profile.13-privatized_19-publish-precision_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-tso.profile.13-privatized_19-publish-precision_unknown_1_pos.yml.log	968	0	6328	0	6328	0
caat-tso.profile.13-privatized_19-publish-precision_unknown_2_neg.yml.log	968	0	6328	0	6328	0
caat-tso.profile.13-privatized_19-publish-precision_unknown_2_pos.yml.log	0	0	0	0	0	0
caat-tso.profile.13-privatized_20-publish-regression_true.yml.log	896	0	5880	0	5880	0
caat-tso.profile.13-privatized_24-multiple-protecting_true.yml.log	3776	0	23800	0	23800	0
caat-tso.profile.13-privatized_25-struct_nr_true.yml.log	1184	0	7672	0	7672	0
caat-tso.profile.13-privatized_27-multiple-protecting2_true.yml.log	4424	0	27832	0	27832	0
caat-tso.profile.13-privatized_29-multiple-protecting2-vesal_true.yml.log	2264	0	14392	0	14392	0
caat-tso.profile.13-privatized_30-traces-oplus-vs-meet_true.yml.log	1544	0	9912	0	9912	0
caat-tso.profile.13-privatized_31-traces-mine-vs-mutex_true.yml.log	1832	0	11704	0	11704	0
caat-tso.profile.13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml.log	2192	0	13944	0	13944	0
caat-tso.profile.13-privatized_33-traces-v-matters_true.yml.log	1400	0	9016	0	9016	0
caat-tso.profile.13-privatized_34-traces-minepp-L-needs-to-be-um_true.yml.log	1040	0	6776	0	6776	0
caat-tso.profile.13-privatized_35-traces-ex-2_true.yml.log	1472	0	9464	0	9464	0
caat-tso.profile.13-privatized_36-traces-ex-3_true.yml.log	1328	0	8568	0	8568	0
caat-tso.profile.13-privatized_37-traces-ex-4_true.yml.log	1112	0	7224	0	7224	0
caat-tso.profile.13-privatized_38-traces-ex-4-switch_true.yml.log	1472	0	9464	0	9464	0
caat-tso.profile.13-privatized_40-traces-ex-6_true.yml.log	1040	0	6776	0	6776	0
caat-tso.profile.13-privatized_41-traces-ex-7_unknown_1_neg.yml.log	0	0	0	0	0	0
caat-tso.profile.13-privatized_41-traces-ex-7_unknown_1_pos.yml.log	968	0	6328	0	6328	0
caat-tso.profile.13-privatized_42-traces-ex-mini_true.yml.log	1400	0	9016	0	9016	0
caat-tso.profile.13-privatized_44-traces-mine2_true.yml.log	968	0	6328	0	6328	0
caat-tso.profile.13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml.log	1472	0	9464	0	9464	0
caat-tso.profile.13-privatized_46-refine-protected1_true.yml.log	0	0	0	0	0	0
caat-tso.profile.13-privatized_47-refine-protected2_true.yml.log	896	0	5880	0	5880	0
caat-tso.profile.13-privatized_57-singlethreaded-unlock_true.yml.log	0	0	0	0	0	0
caat-tso.profile.13-privatized_58-singlethreaded-lock_true.yml.log	0	0	0	0	0	0
caat-tso.profile.13-privatized_66-mine-W-init_true.yml.log	0	0	0	0	0	0
caat-tso.profile.13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml.log	0	0	0	0	0	0
caat-tso.profile.13-privatized_69-refine-protected-loop-interval_true.yml.log	0	0	0	0	0	0
caat-tso.profile.14_spin2003.yml.log	0	0	0	0	0	0
caat-tso.profile.28-race_reach_21-deref_read_racing.yml.log	0	0	0	0	0	0
