variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_depth_fallbacks	product_checks	product_state_visits	product_transitions	product_size_fallbacks	executions	records	process_rss_bytes
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_neg.yml	0	0	0	0	0	0	0	0	0	0	0	0	1	25939968
after	pso	r02	13-privatized_41-traces-ex-7_unknown_1_pos.yml	0	54726	2776	13	2	17	0	1	413	506	0	0	1	25997312
after	pso	r02	13-privatized_42-traces-ex-mini_true.yml	0	570091	5064	26	40	323	0	20	5948	6766	0	2	1	25956352
after	pso	r02	13-privatized_44-traces-mine2_true.yml	0	176248	4184	21	6	28	0	3	824	957	0	1	1	26062848
after	pso	r02	13-privatized_45-traces-per-global-and-current-lock-mine-incomparable_true.yml	0	763819	4888	25	58	380	0	29	8447	9495	0	2	1	25968640
after	pso	r02	13-privatized_46-refine-protected1_true.yml	0	133013	2952	14	8	21	0	4	866	878	0	1	1	25993216
after	pso	r02	13-privatized_47-refine-protected2_true.yml	0	344143	3128	15	20	67	0	10	2173	2349	0	2	1	25939968
after	pso	r02	13-privatized_57-singlethreaded-unlock_true.yml	0	40341	1544	6	2	3	0	1	52	52	0	1	1	25980928
after	pso	r02	13-privatized_58-singlethreaded-lock_true.yml	0	49421	1544	6	2	3	0	1	52	52	0	1	1	26034176
after	pso	r02	13-privatized_66-mine-W-init_true.yml	0	0	0	0	0	0	0	0	0	0	0	1	1	25989120
after	pso	r02	13-privatized_68-pfscan_protected_loop_minimal_interval_true.yml	0	54283	2248	10	2	4	0	1	169	187	0	0	1	26034176
after	pso	r02	13-privatized_69-refine-protected-loop-interval_true.yml	0	43176	2248	10	2	4	0	1	169	187	0	0	1	26046464
after	pso	r02	14_spin2003.yml	0	47054	2600	12	2	3	0	1	149	151	0	0	1	25985024
after	pso	r02	28-race_reach_01-simple_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057181696
after	pso	r02	28-race_reach_06-cond_racing1.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057198080
after	pso	r02	28-race_reach_11-ptr_racing.yml	0	0	0	0	0	0	0	0	0	0	0	0	0	1057198080
