back_offered	back_queued	category	co_offered	co_queued	cputime	memory	peak_work	realized_prefixes	rejected_prefixes	repetition	rf_offered	rf_queued	status	task	validity_queries	variant	walltime	work_added	work_popped
0	0	correct	0	0	0.069391265	26021888.0	0	0	0	01	0	0	true	pthread-ext/29_conditionals_vs.yml	0	pruning	0.07723623409401625	0	0
0	0	correct	2	0	0.068816317	26046464.0	0	0	0	01	1	0	true	pthread-ext/48_ticket_lock_low_contention_vs-pthread.yml	0	pruning	0.07894111308269203	0	0
0	0	correct	6	0	0.069752557	26038272.0	0	0	0	01	3	0	true	pthread-ext/46_monabsex2_vs.yml	0	pruning	0.0794629231095314	0	0
0	0	correct	4	0	0.069480136	26017792.0	0	0	0	01	2	0	true	pthread-ext/45_monabsex1_vs.yml	0	pruning	0.0778494100086391	0	0
2	2	correct	16	0	0.07642047	26128384.0	5	3	0	01	12	4	false(unreach-call)	pthread/stateful01-1.yml	2	pruning	0.08406962698791176	7	3
5	5	correct	31	0	0.076560031	26071040.0	5	8	0	01	18	5	true	pthread/stateful01-2.yml	9	pruning	0.08174160798080266	10	10
1	1	correct	10	0	0.076181458	26083328.0	2	2	0	01	5	1	true	pthread-atomic/time_var_mutex.yml	3	pruning	0.08193378197029233	2	2
0	0	correct	6	0	0.070982426	26021888.0	0	0	0	01	3	0	true	pthread-ext/01b_inc.yml	0	pruning	0.07779267895966768	0	0
16631	16631	correct	93321	0	26.681817647	26103808.0	46	27390	0	01	54976	16631	true	pthread/triangular-1.yml	32277	pruning	26.70328963501379	33262	33262
3648	3648	correct	20454	0	6.190745408	26017792.0	36	6223	0	01	12076	3668	false(unreach-call)	pthread/triangular-2.yml	7732	pruning	6.204917858005501	7317	7287
0	0	correct	1	0	0.070845573	26083328.0	0	0	0	01	1	0	true	pthread-ext/02_inc_cas.yml	0	pruning	0.0808696539606899	0	0
0	0	correct	1	0	3.054697613	56401920.0	1	1	0	01	1	0	false(unreach-call)	goblint-regression/28-race_reach_21-deref_read_racing.yml	0	pruning	3.0745368329808116	1	1
0	0	correct	4	0	0.071035722	25968640.0	0	0	0	01	2	0	true	pthread-ext/48_ticket_lock_low_contention_vs.yml	0	pruning	0.07869808503892273	0	0
		error			61.041440158	1065607168.0				01			TIMEOUT	goblint-regression/28-race_reach_37-indirect_racing.yml		pruning	61.07769060402643		
1	1	correct	8	0	0.0724828	26042368.0	2	2	0	01	6	1	false(unreach-call)	goblint-regression/28-race_reach_45-escape_racing.yml	1	pruning	0.0784234399907291	3	2
1	1	correct	19	0	0.075221901	26058752.0	2	2	0	01	10	1	true	goblint-regression/28-race_reach_46-escape_racefree.yml	3	pruning	0.07987675594631582	2	2
		error			61.044952678	1065914368.0				01			TIMEOUT	goblint-regression/28-race_reach_01-simple_racing.yml		pruning	61.06907898304053		
		error			61.049075962	1065721856.0				01			TIMEOUT	goblint-regression/28-race_reach_11-ptr_racing.yml		pruning	61.07288565498311		
8	8	correct	126	0	0.111688788	26083328.0	50	9	0	01	112	49	false(unreach-call)	pthread-deagle/circular_buffer_bad.yml	7	pruning	0.12491363810840994	58	10
2771	2771	correct	16239	0	29.979904871	26034176.0	36	4492	0	01	9505	2771	true	pthread/fib_safe-5.yml	5163	pruning	30.007119284942746	5542	5542
		error			60.972826967	26099712.0				01			TIMEOUT	pthread/fib_safe-6.yml		pruning	61.0135525490623		
642	642	correct	3736	0	7.309704611	26120192.0	26	1108	0	01	2204	652	false(unreach-call)	pthread/fib_unsafe-5.yml	1405	pruning	7.324251446989365	1295	1275
2954	2954	correct	17614	0	43.283223027	26075136.0	37	5010	0	01	10305	2969	false(unreach-call)	pthread/fib_unsafe-6.yml	6177	pruning	43.39925419900101	5924	5897
		error			60.86250009	26091520.0				01			TIMEOUT	pthread/fib_unsafe-7.yml		pruning	61.01204517309088		
		error			61.047930463	1065746432.0				01			TIMEOUT	goblint-regression/28-race_reach_24-sound_lock_racing.yml		pruning	61.071038509951904		
2	2	correct	10	0	0.072596552	26103808.0	3	4	0	01	7	2	false(unreach-call)	pthread/lazy01.yml	4	pruning	0.07959727197885513	5	4
