model	task_yaml	cat_wall_seconds	caat_wall_seconds	wall_ratio_caat_over_cat	cat_memory_bytes	caat_memory_bytes	memory_ratio_caat_over_cat	max_stable_events	max_inactive_events	max_current_base_bytes	max_history_base_bytes	max_base_relation_pairs	max_base_relation_density_ppm	rebuilds	profiled_queries
tso	c/pthread-deagle/circular_buffer_bad.yml	0.09269065200351179	0.061388683039695024	0.6622963773884035	26304512.0	26329088.0	1.0009342883836811	85	0	12304	12304	4636	641660	0	7
tso	c/goblint-regression/13-privatized_44-traces-mine2_true.yml	0.06454947614111006	0.0626399100292474	0.9704170161243725	26144768.0	26165248.0	1.000783330722231	13	0	968	968	92	544378	0	1
tso	c/goblint-regression/13-privatized_18-first-reads_unknown_1_neg.yml	0.06156748905777931	0.06088026682846248	0.9888379039029529	26177536.0	26206208.0	1.0010952902519168	8	0	608	608	34	531250	0	1
tso	c/pthread/queue_ok.yml	0.09415533696301281	0.06413562805391848	0.6811682706750121	26378240.0	26394624.0	1.0006211180124223	229	0	66080	66080	21948	418527	0	3
tso	c/goblint-regression/13-privatized_19-publish-precision_unknown_2_pos.yml	0.061085785971954465	0.05968076805584133	0.976999265970676	26181632.0	26198016.0	1.0006257822277846	0	0	0	0	0	0	0	0
tso	c/goblint-regression/13-privatized_66-mine-W-init_true.yml	0.04258035309612751	0.04417191306129098	1.0373778010147177	26099712.0	26120192.0	1.0007846829880729	0	0	0	0	0	0	0	0
tso	c/pthread-ext/46_monabsex2_vs.yml	0.06135052000172436	0.060414914041757584	0.9847498283642832	26161152.0	26177536.0	1.0006262721152341	0	0	0	0	0	0	0	0
tso	c/pthread/stateful01-1.yml	0.0639985240995884	0.06408303114585578	1.0013204530488218	26243072.0	26271744.0	1.001092555017949	31	0	2264	2264	688	715920	0	2
tso	c/pthread-atomic/dekker.yml	0.06371224904432893	0.06698698899708688	1.0513989068331193	26218496.0	26243072.0	1.0009373535385095	31	11	2264	2264	688	740484	0	7
tso	c/goblint-regression/13-privatized_41-traces-ex-7_unknown_1_pos.yml	0.06382517796009779	0.06110896007157862	0.95744284661114	26152960.0	26169344.0	1.000626468285043	13	0	968	968	92	544378	0	1
tso	c/pthread/queue_ok_longer.yml	27.94207693915814	3.3684768928214908	0.12055213004230525	480747520.0	313311232.0	0.6517167930476272	4029	0	18277560	18277560	5291788	325992	1	3
tso	c/goblint-regression/13-privatized_36-traces-ex-3_true.yml	0.06637182692065835	0.060769529081881046	0.9155922309404809	26148864.0	26173440.0	1.0009398496240602	18	4	1328	1328	126	650887	0	6
tso	c/goblint-regression/36-apron_21-traces-cluster-based_true.yml	0.06876560603268445	0.06239167298190296	0.9073092870329399	26267648.0	26284032.0	1.0006237330422578	35	8	2552	2552	688	754437	0	18
tso	c/pthread-atomic/szymanski.yml	0.06317786988802254	0.057295670034363866	0.9068946157240758	26222592.0	26247168.0	1.0009372071227742	29	14	2120	2120	306	740000	0	31
tso	c/goblint-regression/28-race_reach_45-escape_racing.yml	0.05937668192200363	0.05395309301093221	0.9086579321122091	26210304.0	26226688.0	1.0006250976715112	19	0	1400	1400	208	576177	0	1
