variant	model	repetition	task	copy_ns	offline_ns	peak_snapshot_bytes	max_stable_events	lazy_cycle_checks	lazy_edge_candidates	lazy_unique_edges	records
after	pso	r03	48_ticket_lock_low_contention_vs.yml	0	116701	4888	25	8	99	0	1
after	pso	r03	butterfly.yml	0	12293897223	11224	61	694890	54985280	0	1
after	pso	r03	circular_buffer_bad.yml	0	11876730	31880	89	476	37904	0	1
after	pso	r03	circular_buffer_ok.yml	0	0	0	0	0	0	0	0
after	pso	r03	dekker-unfair.yml	0	869764	6648	35	74	1600	0	1
after	pso	r03	dekker.yml	0	820031	6648	35	70	1568	0	1
after	pso	r03	exponential-nondet.yml	0	0	0	0	0	0	0	1
after	pso	r03	fib_safe-5.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_safe-6.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-5.yml	0	5383339636	171752	243	96526	11518678	0	1
after	pso	r03	fib_unsafe-6.yml	0	0	0	0	0	0	0	0
after	pso	r03	fib_unsafe-7.yml	0	0	0	0	0	0	0	0
after	pso	r03	lazy01.yml	0	381778	5592	29	36	861	0	1
after	pso	r03	pthread-demo-datarace-3.yml	0	34360716	231304	262	80	930799	0	1
after	pso	r03	queue.yml	0	362436143	145000	205	5918	2074810	0	1
after	pso	r03	queue_longer.yml	0	0	0	0	0	0	0	0
after	pso	r03	queue_ok.yml	0	8935793	534328	433	34	133711	0	1
after	pso	r03	queue_ok_longer.yml	120604667	3108541149	44133960	8033	34	49930431	0	1
after	pso	r03	queue_ok_longest.yml	609662138	12949218862	174022760	16033	34	199380031	0	1
after	pso	r03	race-1_1-join.yml	0	76435	3304	16	6	30	0	1
after	pso	r03	race-1_2-join.yml	0	275266	5416	28	26	546	0	1
after	pso	r03	race-1_3-join.yml	0	278601	5416	28	26	546	0	1
after	pso	r03	race-2_1-container_of.yml	0	0	0	0	0	0	0	1
after	pso	r03	race-3_1-container_of-global.yml	0	0	0	0	0	0	0	1
after	pso	r03	race-4_1-thread_local_vars.yml	0	0	0	0	0	0	0	1
after	pso	r03	reorder_2.yml	0	237379832	29416	82	12692	778472	0	1
after	pso	r03	singleton.yml	0	547220	8760	47	40	1331	0	1
after	pso	r03	singleton_with-uninit-problems.yml	0	1702416	8936	48	130	3400	0	1
after	pso	r03	stateful01-1.yml	0	377708	6824	36	20	941	0	1
after	pso	r03	stateful01-2.yml	0	3022247	6824	36	246	4314	0	1
after	pso	r03	szymanski.yml	0	6507500	5944	31	756	9033	0	1
after	pso	r03	time_var_mutex.yml	0	628886	6296	33	44	1007	0	1
after	pso	r03	triangular-1.yml	0	0	0	0	0	0	0	0
after	pso	r03	triangular-2.yml	0	7183232729	24488	68	493952	14750405	0	1
after	pso	r03	twostage_3.yml	0	4843511	36104	101	138	38625	0	1
after	pso	r03	unwind2-1.yml	0	85448	3656	18	6	63	0	1
after	pso	r03	unwind2-100.yml	0	64185	3656	18	6	63	0	1
after	pso	r03	unwind3-1.yml	0	69223	3656	18	6	187	0	1
after	pso	r04	01b_inc.yml	0	662442	4184	21	10	129	0	1
after	pso	r04	02_inc_cas.yml	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_01-priv_nr_true.yml	0	234503	4360	22	20	590	0	1
after	pso	r04	13-privatized_18-first-reads_true.yml	0	266014	3304	16	20	209	0	1
after	pso	r04	13-privatized_18-first-reads_unknown_1_neg.yml	0	37320	1896	8	2	27	0	1
after	pso	r04	13-privatized_18-first-reads_unknown_2_pos.yml	0	35400	1896	8	2	27	0	1
after	pso	r04	13-privatized_19-publish-precision_true.yml	0	650467	4536	23	66	1041	0	1
after	pso	r04	13-privatized_19-publish-precision_unknown_1_neg.yml	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_19-publish-precision_unknown_1_pos.yml	0	34615	2776	13	2	43	0	1
after	pso	r04	13-privatized_19-publish-precision_unknown_2_neg.yml	0	46372	2776	13	2	43	0	1
after	pso	r04	13-privatized_19-publish-precision_unknown_2_pos.yml	0	0	0	0	0	0	0	1
after	pso	r04	13-privatized_20-publish-regression_true.yml	0	482620	4712	24	36	597	0	1
after	pso	r04	13-privatized_24-multiple-protecting_true.yml	0	14375131	10520	57	852	23592	0	1
after	pso	r04	13-privatized_25-struct_nr_true.yml	0	285442	4360	22	20	590	0	1
after	pso	r04	13-privatized_27-multiple-protecting2_true.yml	0	39280429	11224	61	3092	82273	0	1
after	pso	r04	13-privatized_29-multiple-protecting2-vesal_true.yml	0	2595770	6824	36	176	3243	0	1
after	pso	r04	13-privatized_30-traces-oplus-vs-meet_true.yml	0	553777	5064	26	60	981	0	1
after	pso	r04	13-privatized_31-traces-mine-vs-mutex_true.yml	0	1522873	5768	30	168	2572	0	1
after	pso	r04	13-privatized_32-traces-mine-vs-oplus-vs-meet_true.yml	0	2042871	6824	36	152	3063	0	1
after	pso	r04	13-privatized_33-traces-v-matters_true.yml	0	274794	5240	27	20	306	0	1
