adapter-ns	adaptive-offline	checkpoint-ns	copy-ns	cpu_s	equality-ns	eval-ops	evicted	has_statistics	history-ns	initialize	insert	insert-attempt-ns	lazy-cycle-checks	lazy-depth-fallbacks	lazy-edge-candidates	materialize-ns	max-active-events	max-base-relation-density-ppm	max-base-relation-pairs	max-current-base-bytes	max-history-base-bytes	max-inactive-events	max-stable-events	model	offline-evals	offline-ns	oracle	peak-snapshot-equivalent-bytes	peak-undo-bytes	preventive-all-pruned-fallbacks	preventive-co-candidates	preventive-co-pruned	preventive-lookup-ns	preventive-prefix-inconsistent	preventive-prefix-queries	preventive-rf-candidates	preventive-rf-pruned	profiled-queries	queue-pushes	rebuild	rebuild-ns	repetition	replace	retained-snapshot-equivalent-bytes	retained-undo-bytes	rollback	rollback-insert	rollback-ns	status	sync-ns	task	unchanged	value-changes	worklist-ns
0	9	5340	0	0.075047736	2333	0	0	True	0	1	0	0	20	0	941	233153	31	739583	688	2624	2624	11	36	pso	10	415799	0	6824	0	0	0	0	0	0	0	0	0	10	0	0	417884	r01	0	6824	0	0	0	0	false(unreach-call)	709847	c/pthread/stateful01-1.yml	0	0	0
0	21	8809	0	0.071392833	7027	0	0	True	0	1	0	0	44	0	1007	406165	30	740740	654	2408	2408	14	33	pso	22	631657	0	6296	0	0	0	0	0	0	0	0	0	23	0	0	634923	r01	0	6296	0	0	0	0	true	1160090	c/pthread-atomic/time_var_mutex.yml	1	0	0
0	122	37418	0	0.084131818	46473	0	0	True	0	1	0	0	246	0	4314	2279383	34	743801	826	2624	2624	19	36	pso	123	3049683	0	6824	0	0	0	0	0	0	0	0	0	126	0	0	3063719	r01	0	6824	0	0	0	0	true	5964965	c/pthread/stateful01-2.yml	3	0	0
0	4	2572	0	0.06866622	1592	0	0	True	0	1	0	0	10	0	129	88299	21	585937	220	1544	1544	5	21	pso	5	153312	0	4184	0	0	0	0	0	0	0	0	0	5	0	0	154404	r01	0	4184	0	0	0	0	true	269410	c/pthread-ext/01b_inc.yml	0	0	0
0	0	0	0	0.070181254	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	true	0	c/pthread-ext/02_inc_cas.yml	0	0	0
0	3	2054	0	0.068359318	1261	0	0	True	0	1	0	0	8	0	99	76218	25	585937	304	1832	1832	9	25	pso	4	125924	0	4888	0	0	0	0	0	0	0	0	0	4	0	0	126726	r01	0	4888	0	0	0	0	true	225796	c/pthread-ext/48_ticket_lock_low_contention_vs.yml	0	0	0
0	0	817	0	0.070065119	0	0	0	True	0	1	0	0	2	0	78	33028	19	576177	208	1400	1400	0	19	pso	1	45360	0	3832	0	0	0	0	0	0	0	0	0	1	0	0	45761	r01	0	3832	0	0	0	0	false(unreach-call)	85103	c/goblint-regression/28-race_reach_45-escape_racing.yml	0	0	0
0	27	9189	0	0.072287388	8218	0	0	True	0	1	0	0	56	0	977	453330	28	607709	450	2120	2120	16	29	pso	28	735051	0	5592	0	0	0	0	0	0	0	0	0	29	0	0	738571	r01	0	5592	0	0	0	0	true	1328207	c/goblint-regression/28-race_reach_46-escape_racefree.yml	1	0	0
0	237	101334	0	0.101678597	109858	0	0	True	0	1	0	0	476	0	37904	14458649	86	717971	4702	12880	12880	45	89	pso	238	11859638	0	31880	0	0	0	0	0	0	0	0	0	238	0	0	11891042	r01	0	31880	0	0	0	0	false(unreach-call)	28870590	c/pthread-deagle/circular_buffer_bad.yml	0	0	0
0	0	0	0	3.162455123	0	0	0	True	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	pso	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	r01	0	0	0	0	0	0	false(unreach-call)	0	c/goblint-regression/28-race_reach_21-deref_read_racing.yml	0	0	0
