index	kind	model	program	sha256	arguments	expected_sc	builtin_status	cat_status	classification	builtin_signature	cat_signature
121	correct	sc	correct/litmus/cii/variants/cii0.c	29288afd128b643391eb06300ea2b2e4461ad5b9713d15332bf965733d277c12	 | 	6	0	0	match	No errors were detected.;Number of complete executions explored: 6	No errors were detected.;Number of complete executions explored: 6
121	correct	tso	correct/litmus/cii/variants/cii0.c	29288afd128b643391eb06300ea2b2e4461ad5b9713d15332bf965733d277c12	 | 	6	0	0	match	No errors were detected.;Number of complete executions explored: 6	No errors were detected.;Number of complete executions explored: 6
122	correct	sc	correct/litmus/cumul-release/variants/cumul-releas0.c	6518fa4309b4ae5fcc90cdeeacdf8c53c4e08534e1093a190a24a643c08b1296	 | 	7	0	0	match	No errors were detected.;Number of complete executions explored: 7	No errors were detected.;Number of complete executions explored: 7
122	correct	tso	correct/litmus/cumul-release/variants/cumul-releas0.c	6518fa4309b4ae5fcc90cdeeacdf8c53c4e08534e1093a190a24a643c08b1296	 | 	7	0	0	match	No errors were detected.;Number of complete executions explored: 7	No errors were detected.;Number of complete executions explored: 7
123	correct	sc	correct/litmus/default/variants/default0.c	cb53463eca954fa70512ca5b7f2c05fb2541328b9cfc95f72894a901ff8077c0	-disable-ipr -disable-sr  | 	12	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12
123	correct	tso	correct/litmus/default/variants/default0.c	cb53463eca954fa70512ca5b7f2c05fb2541328b9cfc95f72894a901ff8077c0	-disable-ipr -disable-sr  | 	12	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12
124	correct	sc	correct/litmus/default/variants/default0r.c	ed6914220610c94578991a615cc63bd66d2b05b70c1230fb7366d8a5e59165fb	-disable-ipr -disable-sr  | 	12	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12
124	correct	tso	correct/litmus/default/variants/default0r.c	ed6914220610c94578991a615cc63bd66d2b05b70c1230fb7366d8a5e59165fb	-disable-ipr -disable-sr  | 	12	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12
125	correct	sc	correct/litmus/default/variants/default1.c	16bf13e6096f836fa58323a438e0f504a10f3298e91b28d89dcfd21aad03ae69	-disable-ipr -disable-sr  | 	12	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12
125	correct	tso	correct/litmus/default/variants/default1.c	16bf13e6096f836fa58323a438e0f504a10f3298e91b28d89dcfd21aad03ae69	-disable-ipr -disable-sr  | 	12	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12
126	correct	sc	correct/litmus/default/variants/default2.c	fe03e918415cb14510c7830000e51b11a7ca40d68777fba04152bd3d2e255ecb	-disable-ipr -disable-sr  | 	12	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12
126	correct	tso	correct/litmus/default/variants/default2.c	fe03e918415cb14510c7830000e51b11a7ca40d68777fba04152bd3d2e255ecb	-disable-ipr -disable-sr  | 	12	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 12
127	correct	sc	correct/litmus/detour/variants/detour0.c	6e2fce18679a176cf9aca2d17ae8bf052b27b6cd3a07d62067852cf68381aedb	-disable-ipr -disable-sr  | 	9	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 9	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 9
127	correct	tso	correct/litmus/detour/variants/detour0.c	6e2fce18679a176cf9aca2d17ae8bf052b27b6cd3a07d62067852cf68381aedb	-disable-ipr -disable-sr  | 	9	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 9	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 9
128	correct	sc	correct/litmus/fr+w+w+w+reads/variants/fr+w+w+w+reads0.c	d447e3f1945481764183f40003ef6b41abf5821b9fa95c393098e135eaf4cfe1	-disable-ipr -disable-sr  | 	210	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 210	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 210
128	correct	tso	correct/litmus/fr+w+w+w+reads/variants/fr+w+w+w+reads0.c	d447e3f1945481764183f40003ef6b41abf5821b9fa95c393098e135eaf4cfe1	-disable-ipr -disable-sr  | 	210	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 210	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 210
129	correct	sc	correct/litmus/inc+inc+RR+W+RR/variants/inc+inc+rr+w+rr0.c	30d015cb74099ac24505174c2f3df572e68337ffb183e2e3f082848efeb856db	-disable-ipr -disable-sr  | 	600	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 600	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 600
129	correct	tso	correct/litmus/inc+inc+RR+W+RR/variants/inc+inc+rr+w+rr0.c	30d015cb74099ac24505174c2f3df572e68337ffb183e2e3f082848efeb856db	-disable-ipr -disable-sr  | 	600	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 600	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 600
130	correct	sc	correct/litmus/inc2w/variants/inc2w0.c	bf26114a9ff12973ff7a3ff783e982edc034f82507c14806aec9e3dab5e94139	-disable-ipr -disable-sr  | 	6	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 6	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 6
130	correct	tso	correct/litmus/inc2w/variants/inc2w0.c	bf26114a9ff12973ff7a3ff783e982edc034f82507c14806aec9e3dab5e94139	-disable-ipr -disable-sr  | 	6	0	0	match	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 6	Warning: Unordered writes!;No errors were detected.;Number of complete executions explored: 6
