case	mode	workers	status	elapsed_ns	gate	complete	blocked	reduced	singleton_bypass	native_reads_synthesized	fail_open	verdict_sha256	summary_sha256
correct/litmus/CoRR1/variants/corr11.c	baseline	2	0	52394000		36	0	0	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr11.c	rvf	1	0	54142000	enabled	36	0	0	26	42	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr11.c	rvf	2	0	54546000	enabled	36	0	0	26	42	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr12.c	baseline	1	0	54411000		36	0	0	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr12.c	baseline	2	0	55070000		36	0	0	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr12.c	rvf	1	0	53899000	enabled	36	0	0	20	30	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr12.c	rvf	2	0	53995000	enabled	36	0	0	20	30	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr13.c	baseline	1	0	52363000		36	0	0	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr13.c	baseline	2	0	54237000		36	0	0	0	0	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr13.c	rvf	1	0	55077000	enabled	36	0	0	20	30	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
correct/litmus/CoRR1/variants/corr13.c	rvf	2	0	51314000	enabled	36	0	0	20	30	0	517ace91a08d258d4aa962235d4c5e2df712b09190dd29f3918e1a08ac9b81a2	5de170cbb56f44dc0ca548207f8d06715386e026548c82a54258fcc4200c564e
