model,task,status,category,cputime_s,walltime_s,memory_bytes,backward_offered,backward_queued,co_offered,co_queued,inconsistent_revisit_prefixes,max_retained_work,max_rf_same_value_class,realized_revisit_prefixes,rf_offered,rf_queued,rf_same_value_candidate_upper_bound,rf_same_value_choice_points,rf_value_choice_points,rf_value_classes,validity_queries,work_added,work_popped
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe018_power.opt.yml,TIMEOUT,error,60.958163932,61.017402934026904,26660864,7053,7053,39933,0,0,34,7,12187,23506,7061,7061,5142,5142,5142,15410,14114,14098
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe016_power.oepc.yml,false(unreach-call),correct,0.114432541,0.12023626908194274,26779648,14,14,62,0,0,15,2,15,45,14,14,14,14,14,14,29,15
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe016_rmo.opt.yml,TIMEOUT,error,60.958413458,61.014175508054905,26800128,7160,7159,39976,0,0,38,7,12143,23593,7179,7179,4995,4995,4995,14963,14338,14308
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/rfi002_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml,true,correct,41.320319679,41.659306003013626,26832896,5543,5543,34913,0,0,42,7,9106,20228,5543,5543,3563,3563,3563,10689,11086,11086
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe003_power.oepc_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml,TIMEOUT,error,60.919497515,61.02218359592371,26771456,6997,6997,40555,0,0,37,7,11885,23790,7004,7004,4900,4900,4900,14676,14001,13982
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe032_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml,TIMEOUT,error,60.961278106,61.017492944025435,26800128,6986,6986,40798,0,0,39,7,11763,23913,7002,7002,4787,4787,4787,14341,13988,13962
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe000_rmo.yml,false(unreach-call),correct,0.110565451,0.12182002002373338,26726400,12,12,54,0,0,13,2,13,39,12,12,12,12,12,12,25,13
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe002_rmo.oepc.yml,false(unreach-call),correct,0.110735791,0.12208001501858234,26824704,12,12,54,0,0,13,2,13,39,12,12,12,12,12,12,25,13
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe019_power.opt.yml,TIMEOUT,error,60.945729007,61.016599596943706,26796032,7160,7159,39976,0,0,38,7,12143,23593,7179,7179,4995,4995,4995,14963,14338,14308
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_27-funptr_racing.yml,TIMEOUT,error,61.009478083,61.038148581050336,262664192,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe023_power.oepc_power.opt_pso.oepc_pso.opt_rmo.oepc_rmo.opt.yml,TIMEOUT,error,60.969778472,61.01594049693085,26890240,6997,6997,40555,0,0,38,7,11885,23790,7004,7004,4900,4900,4900,14676,14001,13982
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe001_power.oepc.yml,false(unreach-call),correct,0.113770641,0.12550287996418774,26800128,12,12,54,0,0,13,2,13,39,12,12,12,12,12,12,25,13
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe000_power.oepc.yml,false(unreach-call),correct,0.11616523,0.12976389203686267,26923008,12,12,54,0,0,13,2,13,39,12,12,12,12,12,12,25,13
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread/sync01.yml,ERROR (compilation),error,0.060181163,0.072888920083642,25817088,,,,,,,,,,,,,,,,,
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/pthread-wmm/safe025_power.yml,false(unreach-call),correct,0.091893914,0.10610402293968946,26861568,7,7,27,0,0,8,2,8,21,7,7,7,7,7,7,15,8
pso,../../../../../svcomp2026-caat/sv-benchmarks/c/goblint-regression/28-race_reach_08-cond_racefree.yml,TIMEOUT,error,60.993331464,61.03319055598695,262561792,,,,,,,,,,,,,,,,,
